year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,24940,"Greenwood, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001155,0,,,
2009-2019,24980,"Grenada, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.050746001,0,,,
2014-2019,24980,"Grenada, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045945998,0,,,
2018-2019,24980,"Grenada, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.016198,0,,,
2009-2019,25060,"Gulfport-Biloxi, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000633,1,Midsized,162,70
2014-2019,25060,"Gulfport-Biloxi, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.011705,1,Midsized,182,76
2018-2019,25060,"Gulfport-Biloxi, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.011771,1,Midsized,155,65
2009-2019,25100,"Guymon, OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.053304002,0,,,
2014-2019,25100,"Guymon, OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.071249001,0,,,
2018-2019,25100,"Guymon, OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.041274,0,,,
2009-2019,25180,"Hagerstown-Martinsburg, MD-WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.050073002,1,Midsized,8,5
2014-2019,25180,"Hagerstown-Martinsburg, MD-WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.012336,1,Midsized,118,51
2018-2019,25180,"Hagerstown-Martinsburg, MD-WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.035355002,1,Midsized,5,5
2009-2019,25200,"Hailey, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.005665,0,,,
2014-2019,25200,"Hailey, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.034214001,0,,,
2018-2019,25200,"Hailey, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.013782,0,,,
2009-2019,25220,"Hammond, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.044054002,0,,,
2014-2019,25220,"Hammond, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018097,0,,,
2018-2019,25220,"Hammond, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.008449,0,,,
2009-2019,25260,"Hanford-Corcoran, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.049343001,0,,,
2014-2019,25260,"Hanford-Corcoran, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.030035,0,,,
2018-2019,25260,"Hanford-Corcoran, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.03994,0,,,
2009-2019,25300,"Hannibal, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016582999,0,,,
2014-2019,25300,"Hannibal, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.049304999,0,,,
2018-2019,25300,"Hannibal, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.031743001,0,,,
2009-2019,25420,"Harrisburg-Carlisle, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.014466,1,Large,180,53
2014-2019,25420,"Harrisburg-Carlisle, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001758,1,Large,164,46
2018-2019,25420,"Harrisburg-Carlisle, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.013725,1,Large,47,9
2009-2019,25460,"Harrison, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.069557004,0,,,
2014-2019,25460,"Harrison, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.092736997,0,,,
2018-2019,25460,"Harrison, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.066674002,0,,,
2009-2019,25500,"Harrisonburg, VA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007129,0,,,
2014-2019,25500,"Harrisonburg, VA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.027669,0,,,
2018-2019,25500,"Harrisonburg, VA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.031557001,0,,,
2009-2019,25540,"Hartford-East Hartford-Middletown, CT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007078,1,Very Large,145,45
2014-2019,25540,"Hartford-East Hartford-Middletown, CT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.005269,1,Very Large,173,53
2018-2019,25540,"Hartford-East Hartford-Middletown, CT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.003709,1,Very Large,132,44
2009-2019,25580,"Hastings, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.030782999,0,,,
2014-2019,25580,"Hastings, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024343001,0,,,
2018-2019,25580,"Hastings, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018755,0,,,
2009-2019,25620,"Hattiesburg, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.043561,0,,,
2014-2019,25620,"Hattiesburg, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.061067998,0,,,
2018-2019,25620,"Hattiesburg, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.063998997,0,,,
2009-2019,25700,"Hays, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010468,0,,,
2014-2019,25700,"Hays, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.02816,0,,,
2018-2019,25700,"Hays, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007126,0,,,
2009-2019,25720,"Heber, UT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.013453,0,,,
2014-2019,25720,"Heber, UT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01415,0,,,
2018-2019,25720,"Heber, UT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.009279,0,,,
2009-2019,25740,"Helena, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.034506999,0,,,
2014-2019,25740,"Helena, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.003082,0,,,
2018-2019,25740,"Helena, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.026848,0,,,
2009-2019,25760,"Helena-West Helena, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021655999,0,,,
2014-2019,25760,"Helena-West Helena, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000482,0,,,
2018-2019,25760,"Helena-West Helena, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.015444,0,,,
2009-2019,25780,"Henderson, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.015126,0,,,
2014-2019,25780,"Henderson, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01159,0,,,
2018-2019,25780,"Henderson, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.009561,0,,,
2009-2019,25820,"Hereford, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.016486,0,,,
2014-2019,25820,"Hereford, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028731,0,,,
2018-2019,25820,"Hereford, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00533,0,,,
2009-2019,25840,"Hermiston-Pendleton, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028176,0,,,
2014-2019,25840,"Hermiston-Pendleton, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010248,0,,,
2018-2019,25840,"Hermiston-Pendleton, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.029176001,0,,,
2009-2019,25860,"Hickory-Lenoir-Morganton, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.005781,1,Midsized,176,73
2014-2019,25860,"Hickory-Lenoir-Morganton, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.003145,1,Midsized,157,65
2018-2019,25860,"Hickory-Lenoir-Morganton, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.002385,1,Midsized,126,52
2009-2019,25880,"Hillsdale, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.026712,0,,,
2014-2019,25880,"Hillsdale, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.005144,0,,,
2018-2019,25880,"Hillsdale, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.002896,0,,,
2009-2019,25900,"Hilo, HI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.043822002,0,,,
2014-2019,25900,"Hilo, HI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018382,0,,,
2018-2019,25900,"Hilo, HI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.033448,0,,,
2009-2019,25940,"Hilton Head Island-Bluffton, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.032161999,0,,,
2014-2019,25940,"Hilton Head Island-Bluffton, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.011925,0,,,
2018-2019,25940,"Hilton Head Island-Bluffton, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.040486999,0,,,
2009-2019,25980,"Hinesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.066804998,0,,,
2014-2019,25980,"Hinesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.034901001,0,,,
2018-2019,25980,"Hinesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.031736001,0,,,
2009-2019,26020,"Hobbs, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.02445,0,,,
2014-2019,26020,"Hobbs, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.036364999,0,,,
2018-2019,26020,"Hobbs, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.019447999,0,,,
2009-2019,26090,"Holland, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000343,0,,,
2014-2019,26090,"Holland, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.039048001,0,,,
2018-2019,26090,"Holland, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.052021001,0,,,
2009-2019,26140,"Homosassa Springs, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.015138,0,,,
2014-2019,26140,"Homosassa Springs, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01005,0,,,
2018-2019,26140,"Homosassa Springs, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009274,0,,,
2009-2019,26220,"Hood River, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.03712,0,,,
2014-2019,26220,"Hood River, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.020284999,0,,,
2018-2019,26220,"Hood River, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.029944999,0,,,
2009-2019,26260,"Hope, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001415,0,,,
2014-2019,26260,"Hope, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.014892,0,,,
2018-2019,26260,"Hope, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.003662,0,,,
2009-2019,26300,"Hot Springs, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.027739,0,,,
2014-2019,26300,"Hot Springs, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.042890999,0,,,
2018-2019,26300,"Hot Springs, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.035404999,0,,,
2009-2019,26340,"Houghton, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.02382,0,,,
2014-2019,26340,"Houghton, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.017953999,0,,,
2018-2019,26340,"Houghton, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024665,0,,,
2009-2019,26380,"Houma-Thibodaux, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.017720999,0,,,
2014-2019,26380,"Houma-Thibodaux, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.005346,0,,,
2018-2019,26380,"Houma-Thibodaux, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.020957001,0,,,
2009-2019,26420,"Houston-The Woodlands-Sugar Land, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000282,1,Very Large,163,49
2014-2019,26420,"Houston-The Woodlands-Sugar Land, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.016801,1,Very Large,96,29
2018-2019,26420,"Houston-The Woodlands-Sugar Land, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000196,1,Very Large,114,39
2009-2019,26460,"Hudson, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.005292,0,,,
2014-2019,26460,"Hudson, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.008267,0,,,
2018-2019,26460,"Hudson, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.008447,0,,,
2009-2019,26500,"Huntingdon, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045786001,0,,,
2014-2019,26500,"Huntingdon, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009294,0,,,
2018-2019,26500,"Huntingdon, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.039188001,0,,,
2009-2019,26540,"Huntington, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021987,0,,,
2014-2019,26540,"Huntington, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.014777,0,,,
2018-2019,26540,"Huntington, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.031353999,0,,,
2009-2019,26580,"Huntington-Ashland, WV-KY-OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.026061,1,Midsized,55,29
2014-2019,26580,"Huntington-Ashland, WV-KY-OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.023709999,1,Midsized,58,32
2018-2019,26580,"Huntington-Ashland, WV-KY-OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.009227,1,Midsized,146,62
2009-2019,26620,"Huntsville, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007973,1,Midsized,139,62
2014-2019,26620,"Huntsville, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.013082,1,Midsized,112,48
2018-2019,26620,"Huntsville, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001411,1,Midsized,120,50
2009-2019,26660,"Huntsville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.087559,0,,,
2014-2019,26660,"Huntsville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018820999,0,,,
2018-2019,26660,"Huntsville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.038442001,0,,,
2009-2019,26700,"Huron, SD",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009655,0,,,
2014-2019,26700,"Huron, SD",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.041393001,0,,,
2018-2019,26700,"Huron, SD",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.066009998,0,,,
2009-2019,26740,"Hutchinson, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.002157,0,,,
2014-2019,26740,"Hutchinson, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.052645002,0,,,
2018-2019,26740,"Hutchinson, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01247,0,,,
2009-2019,26780,"Hutchinson, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.013961,0,,,
2014-2019,26780,"Hutchinson, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.029189,0,,,
2018-2019,26780,"Hutchinson, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.003066,0,,,
2009-2019,26820,"Idaho Falls, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001611,0,,,
2014-2019,26820,"Idaho Falls, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004556,0,,,
2018-2019,26820,"Idaho Falls, ID",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.002228,0,,,
2009-2019,26860,"Indiana, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.042130001,0,,,
2014-2019,26860,"Indiana, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.043999001,0,,,
2018-2019,26860,"Indiana, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018908,0,,,
2009-2019,26900,"Indianapolis-Carmel-Anderson, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.017232999,1,Very Large,97,23
2014-2019,26900,"Indianapolis-Carmel-Anderson, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.023456,1,Very Large,59,14
2018-2019,26900,"Indianapolis-Carmel-Anderson, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00211,1,Very Large,104,33
2009-2019,26940,"Indianola, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.051178999,0,,,
2014-2019,26940,"Indianola, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.031059001,0,,,
2018-2019,26940,"Indianola, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.026258999,0,,,
2009-2019,26980,"Iowa City, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.012638,0,,,
