year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2014,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.235080138,0,
2015,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.241319388,0,
2016,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.292128235,0,
2017,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.303150237,0,
2018,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.281742543,0,
2019,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.290796041,0,
2009,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.24627459,0,
2010,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.253064066,0,
2011,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.249451578,0,
2012,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.258365065,0,
2013,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.27578643,0,
2014,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.247809976,0,
2015,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.229103312,0,
2016,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.260227621,0,
2017,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.255705267,0,
2018,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.247720629,0,
2019,23980,"Glasgow, KY",Total,Total,Relative Income Poverty Rate,0.252120823,0,
2009,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.283682585,0,
2010,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.242811754,0,
2011,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.276896179,0,
2012,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.258701354,0,
2013,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.255468279,0,
2014,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.30548206,0,
2015,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.282786041,0,
2016,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.267635345,0,
2017,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.259822607,0,
2018,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.270230085,0,
2019,24020,"Glens Falls, NY",Total,Total,Relative Income Poverty Rate,0.24195917,0,
2009,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.250405908,0,
2010,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.302977145,0,
2011,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.27962774,0,
2012,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.267919153,0,
2013,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.271656513,0,
2014,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.240043059,0,
2015,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.205096424,0,
2016,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.191551149,0,
2017,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.226346806,0,
2018,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.22845006,0,
2019,24060,"Glenwood Springs, CO",Total,Total,Relative Income Poverty Rate,0.25029552,0,
2009,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.266209394,0,
2010,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.244377866,0,
2011,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.255496681,0,
2012,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.289670557,0,
2013,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.285991162,0,
2014,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.243219525,0,
2015,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.259538651,0,
2016,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.238743827,0,
2017,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.235609517,0,
2018,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.242185295,0,
2019,24100,"Gloversville, NY",Total,Total,Relative Income Poverty Rate,0.232696846,0,
2009,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.274415642,0,
2010,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.270614982,0,
2011,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.257886589,0,
2012,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.293753862,0,
2013,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.264617771,0,
2014,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.250239521,0,
2015,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.235329509,0,
2016,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.246279404,0,
2017,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.310093343,0,
2018,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.240712628,0,
2019,24140,"Goldsboro, NC",Total,Total,Relative Income Poverty Rate,0.249025941,0,
2009,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.293408006,0,
2010,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.28211686,0,
2011,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.285901815,0,
2012,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.294129759,0,
2013,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.283607781,0,
2014,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.287777066,0,
2015,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.26969552,0,
2016,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.253507406,0,
2017,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.290382326,0,
2018,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.273315102,0,
2019,24180,"Granbury, TX",Total,Total,Relative Income Poverty Rate,0.254104972,0,
2009,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.282705665,0,
2010,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.311894834,0,
2011,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.325303346,0,
2012,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.265688151,0,
2013,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.30804652,0,
2014,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.302758068,0,
2015,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.303951204,0,
2016,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.280590206,0,
2017,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.2860879,0,
2018,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.271401376,0,
2019,24220,"Grand Forks, ND-MN",Total,Total,Relative Income Poverty Rate,0.270887643,0,
2009,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.248047084,0,
2010,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.222486392,0,
2011,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.272350132,0,
2012,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.260546833,0,
2013,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.261444151,0,
2014,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.275569856,0,
2015,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.248276398,0,
2016,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.241280288,0,
2017,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.241156206,0,
2018,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.244000107,0,
2019,24260,"Grand Island, NE",Total,Total,Relative Income Poverty Rate,0.242026612,0,
2009,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.311393023,0,
2010,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.303069472,0,
2011,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.28253442,0,
2012,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.271646649,0,
2013,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.282167464,0,
2014,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.339869022,0,
2015,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.30349049,0,
2016,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.283809721,0,
2017,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.320765227,0,
2018,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.290767282,0,
2019,24300,"Grand Junction, CO",Total,Total,Relative Income Poverty Rate,0.245547727,0,
2009,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.290527165,0,
2010,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.26202023,0,
2011,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.265255481,0,
2012,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.303594559,0,
2013,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.270295709,0,
2014,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.287235498,0,
2015,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.274940073,0,
2016,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.281326771,0,
2017,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.245794758,0,
2018,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.272922069,0,
2019,24330,"Grand Rapids, MN",Total,Total,Relative Income Poverty Rate,0.244880155,0,
2009,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.307749957,1,Very Large
2010,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.311458737,1,Very Large
2011,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.302556574,1,Very Large
2012,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.300041646,1,Very Large
2013,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.301599622,1,Very Large
2014,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.289379478,1,Very Large
2015,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.283801705,1,Very Large
2016,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.285871863,1,Very Large
2017,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.251146197,1,Very Large
2018,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.270607561,1,Very Large
2019,24340,"Grand Rapids-Kentwood, MI",Total,Total,Relative Income Poverty Rate,0.282791913,1,Very Large
2009,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.261582464,0,
2010,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.288102061,0,
2011,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.25338766,0,
2012,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.246434465,0,
2013,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.303646415,0,
2014,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.308511764,0,
2015,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.229330108,0,
2016,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.27885586,0,
2017,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.281035155,0,
2018,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.277257591,0,
2019,24380,"Grants, NM",Total,Total,Relative Income Poverty Rate,0.233672276,0,
2009,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.262628078,0,
2010,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.288807064,0,
2011,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.292218685,0,
2012,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.265232623,0,
2013,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.265117139,0,
2014,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.251515806,0,
2015,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.293190628,0,
2016,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.245305136,0,
2017,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.256282181,0,
2018,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.243547872,0,
2019,24420,"Grants Pass, OR",Total,Total,Relative Income Poverty Rate,0.266772211,0,
2009,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.283567548,0,
2010,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.308312535,0,
2011,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.25708583,0,
2012,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.271712899,0,
2013,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.254431695,0,
2014,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.285735458,0,
2015,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.239659831,0,
2016,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.283590168,0,
2017,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.28086096,0,
2018,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.304229617,0,
2019,24460,"Great Bend, KS",Total,Total,Relative Income Poverty Rate,0.266862661,0,
2009,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.264333874,0,
2010,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.274304926,0,
2011,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.26933834,0,
2012,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.236773193,0,
2013,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.267755955,0,
2014,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.290694058,0,
2015,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.257669866,0,
2016,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.288672775,0,
2017,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.258017153,0,
2018,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.220344499,0,
2019,24500,"Great Falls, MT",Total,Total,Relative Income Poverty Rate,0.26540792,0,
2009,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.274871081,1,Midsized
2010,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.286553532,1,Midsized
2011,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.233249739,1,Midsized
2012,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.295271367,1,Midsized
2013,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.282403499,1,Midsized
2014,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.282397747,1,Midsized
2015,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.260569721,1,Midsized
2016,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.27934882,1,Midsized
2017,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.266158521,1,Midsized
2018,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.258314997,1,Midsized
2019,24540,"Greeley, CO",Total,Total,Relative Income Poverty Rate,0.24004811,1,Midsized
2009,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.282276601,1,Midsized
2010,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.269698143,1,Midsized
2011,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.272877067,1,Midsized
2012,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.301763773,1,Midsized
2013,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.270069718,1,Midsized
2014,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.249196142,1,Midsized
2015,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.271329075,1,Midsized
2016,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.279637188,1,Midsized
2017,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.257725805,1,Midsized
2018,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.252886981,1,Midsized
2019,24580,"Green Bay, WI",Total,Total,Relative Income Poverty Rate,0.25369516,1,Midsized
2009,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.282452554,0,
2010,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.261045158,0,
2011,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.273556352,0,
2012,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.292421848,0,
2013,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.266707212,0,
2014,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.285998225,0,
2015,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.269965887,0,
2016,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.277577728,0,
2017,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.258152366,0,
2018,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.230257183,0,
2019,24620,"Greeneville, TN",Total,Total,Relative Income Poverty Rate,0.246975571,0,
2009,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.257039428,1,Large
2010,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.25330162,1,Large
2011,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.268482327,1,Large
2012,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.26287654,1,Large
2013,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.256599069,1,Large
2014,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.257347316,1,Large
2015,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.253657818,1,Large
2016,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.268663436,1,Large
2017,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.24730064,1,Large
2018,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.245356664,1,Large
2019,24660,"Greensboro-High Point, NC",Total,Total,Relative Income Poverty Rate,0.260320157,1,Large
2009,24700,"Greensburg, IN",Total,Total,Relative Income Poverty Rate,0.251353174,0,
2010,24700,"Greensburg, IN",Total,Total,Relative Income Poverty Rate,0.273772389,0,
